authors,ratings_authors
Сюзанна Коллинз,6.64
Дж.К. Роулинг,7.02
 Мэри Гран-Пре,7.02
Стивени Майер,7.53
Харпер Ли,6.02
F. Скотт Фицджеральд,8.58
Дж.Р.Р. Толкиен,3.96
Дэн Браун,5.5
Джейн Остин,5.45
Халед Хоссейни,3.41
Вероника Рот,3.62
Джордж Оруэлл,4.17
 Эрих Фромм,4.17
 Селал Юстер,4.17
 Руфус Бек,0.67
Алиса Себолд,6.25
Уильям Голдинг,9.24
Уильям Шекспир,4.13
 Роберт Джексон,5.77
Гиллиан Флинн,3.87
Кэтрин Стокетт,1.02
Джон Стейнбек,4.64
К.С. Льюис,2.69
Одри Ниффенеггер,4.41
Рик Риордан,1.82
Луиза Мэй Олкотт,3.15
Шарлотта Бронте,3.5
 Майкл Мейсон,3.5
Николас Спаркс,4.94
Янн Мартель,3.96
Сара Груэн,1.66
Маркус Зусак,1.78
Рэй Брэдбери,2.82
Шел Сильверстайн,1.65
Кассандра Клэр,3.4
Кристофер Паолини,5.03
Дуглас Адамс,2.17
Олдос Хаксли,2.62
Стивени Мейер,9.9
Сью Монк Кидд,1.74
Марк Твен,2.02
 Джон Сили,2.02
 Гай Кардуэлл,2.02
Э.Б. Уайт,1.84
 Гарт Уильямс,1.84
 Розмари Уэллс,1.84
Пола Хокинс,2.76
Филип Пулман,3.82
Эмили Бронте,4.63
 Ричард Дж. Данн,4.63
Маргарет Митчелл,1.99
Стивен Кинг,3.19
Антуан де Сент-Экзюпери,1.5
Жаннетт Уоллс,7.83
Джон Кракауэр,1.91
Майкл Крихтон,1.57
Джеймс Дашнер,1.52
Александр Дюма,1.03
 Робин Басс,1.03
Софи Кинселла,3.06
Уолтер Айзексон,1.96
Кен Кизи,6.3
Эрнест Хемингуэй,2.85
Рэнсом Риггс,1.24
Энди Вейр,4.1
Роальд Даль,6.17
 Квентин Блейк,6.17
Нил Гайман,9.79
Лев Толстой,1.17
Энтони Берджесс,1.47
Федор Достоевский,9.29
Ками Гарсия,1.98
 Маргарет Стол,1.98
Чак Паланик,4.56
Томас Харрис,1.02
 Полин Бейнс,3.76
Эоин Колфер,1.44
Льюис Кэрролл,5.27
 Джон Тенниел,5.27
 Мартин Гарднер,5.27
Кэтрин Патерсон,8.25
Стивен Р. Кови,9.0
 Барбара А. Моуэт,5.58
 Пол Верстин,5.58
 Кэтрин Белси,5.58
Джонатан Сафран Фоер,8.81
Лиана Мориарти,3.76
Гейл Карсон Левин,6.59
Сесилия Ахерн,7.0
Дафна дю Морье,4.55
 Салли Боман,4.55
Дэниел Киз,4.21
Джон Тиффани,5.28
 Джек Торн,5.28
 Дж.К. Роулинг,5.28
Роберт Луис Стивенсон,5.33
Джон Бойн,5.28
Дэвид Николлс,8.6
Л. Фрэнк Баум,4.18
 У.В. Денслоу,4.18
Чарльз Диккенс,4.75
 Джордж Круикшенк,4.75
 Филип Хорн,4.75
Доктор Сьюз,3.42
Нил Гейман,2.95
